Unnamed: 0,Volume,Last,Chg,% Chg
Olin Corp. (OLN),1.3M,19.16,1.21,6.71
Triple Flag Precious Metals Corp. (TFPM),245.2K,19.54,1.19,6.46
European Wax Center Inc. (EWCZ),330.7K,3.5,0.21,6.38
Everspin Technologies Inc. (MRAM),79.3K,4.68,0.28,6.36
Zhengye Biotechnology Holding Ltd. (ZYBT),55.2K,3.87,0.23,6.32
Encore Capital Group Inc. (ECPG),139.0K,28.84,1.71,6.3
Delta Air Lines Inc. (DAL),13.8M,38.07,2.19,6.1
Endeavour Silver Corp. (EXK),8.2M,3.34,0.19,6.03
EPWK Holdings Ltd. Cl A (EPWK),1.4M,5.1,0.29,6.03
SunRun Inc. (RUN),6.3M,6.0,0.34,6.0
Telos Corp. (TLS),206.1K,2.34,0.13,5.88
Gold Fields Ltd. ADR (GFI),3.2M,21.22,1.18,5.86
Kinross Gold Corp. (KGC),9.7M,12.66,0.7,5.85
Alamos Gold Inc. (AGI),2.3M,25.93,1.43,5.84
Hycroft Mining Holding Corp. (HYMC),79.4K,2.6,0.14,5.69
Intel Corp. (INTC),63.7M,19.16,1.03,5.67
Green Dot Corp. Cl A (GDOT),271.5K,7.08,0.38,5.67
LZ Technology Holdings Ltd. Cl B (LZMH),1.3M,8.65,0.46,5.55
AeroVironment Inc. (AVAV),228.7K,127.68,6.65,5.49
First Majestic Silver Corp. (AG),11.3M,5.52,0.28,5.44
QuickLogic Corp. (QUIK),58.3K,4.67,0.24,5.42
Kornit Digital Ltd. (KRNT),120.4K,16.66,0.84,5.34
QuantumScape Corp. Cl A (QS),4.7M,3.66,0.18,5.33
Redwire Corp. (RDW),503.3K,8.12,0.41,5.32
Bionano Genomics Inc. (BNGO),94.5K,2.98,0.15,5.31
Wolfspeed Inc. (WOLF),9.7M,2.3,0.12,5.28
Compania de Minas Buenaventura S.A. ADR (BVN),712.9K,13.62,0.68,5.26
Arm Holdings PLC ADR (ARM),3.6M,90.3,4.47,5.21
Vertical Aerospace Ltd. (EVTL),130.7K,3.03,0.15,5.21
Pan American Silver Corp. (PAAS),2.7M,22.84,1.12,5.16
Goodyear Tire & Rubber Co. (GT),3.1M,8.91,0.43,5.13
Orla Mining Ltd. (ORLA),609.0K,8.72,0.42,5.13
Mingteng International Corp. Inc. (MTEN),65.6K,4.31,0.21,5.12
Shutterstock Inc. (SSTK),172.5K,15.3,0.74,5.12
Bloomin' Brands Inc. (BLMN),1.2M,6.58,0.32,5.11
Vishay Intertechnology Inc. (VSH),1.9M,11.11,0.54,5.11
Vera Therapeutics Inc. (VERA),224.4K,19.82,0.96,5.09
Hecla Mining Co. (HL),15.7M,4.95,0.24,5.08
Camtek Ltd. (CAMT),245.8K,54.97,2.65,5.06
NovaGold Resources Inc. (NG),1.4M,2.4,0.12,5.04
REE Automotive Ltd. (REE),101.1K,2.51,0.12,5.02
908 Devices Inc. (MASS),84.7K,3.81,0.18,4.96
Ameresco Inc. Cl A (AMRC),234.4K,9.74,0.46,4.96
Amprius Technologies Inc. (AMPX),1.2M,2.22,0.1,4.95
Perpetua Resources Corp. (PPTA),535.9K,10.0,0.47,4.93
NeOnc Technologies Holdings Inc. (NTHI),69.4K,10.1,0.47,4.89
Workiva Inc. Cl A (WK),443.5K,64.89,2.98,4.81
U.S. Gold Corp. (USAU),142.6K,8.29,0.38,4.79
Tesla Inc. (TSLA),76.3M,232.46,10.6,4.78
Pangaea Logistics Solutions Ltd. (PANL),141.3K,4.18,0.19,4.76
MACOM Technology Solutions Holdings Inc. (MTSI),574.3K,91.8,4.16,4.74
Advanced Micro Devices Inc. (AMD),30.4M,81.91,3.7,4.73
New Gold Inc. (NGD),12.8M,3.12,0.14,4.7
