Unnamed: 0,Volume,Last,Chg,% Chg
TTEC Holdings Inc. (TTEC),17.2M,4.99,1.72,52.6
CervoMed Inc. (CRVO),2.9M,13.58,3.6,36.07
Alumis Inc. (ALMS),2.8M,9.84,2.6,35.91
Alaunos Therapeutics Inc. (TCRT),13.7M,2.8,0.64,29.63
Tivic Health Systems Inc. (TIVC),980.3K,3.25,0.73,28.97
Micropolis Holding Co. (MCRP),206.4K,3.56,0.66,22.76
Cognyte Software Ltd. (CGNT),2.0M,9.95,1.73,21.05
Bionano Genomics Inc. (BNGO),216.4K,3.75,0.65,20.97
Hub Cyber Security Ltd. (HUBC),409.2K,3.62,0.61,20.17
Vishay Precision Group Inc. (VPG),1.2M,28.25,4.74,20.16
TuHURA Biosciences Inc. (HURA),212.3K,3.48,0.57,19.59
Silence Therapeutics PLC ADR (SLN),275.9K,2.89,0.47,19.42
DBV Technologies S.A. ADR (DBVT),489.1K,7.7,1.24,19.2
Inotiv Inc. (NOTV),809.0K,2.87,0.46,19.09
Jinxin Technology Holding Co. ADR (NAMI),52.6K,2.95,0.45,18.0
zSpace Inc. (ZSPC),86.7K,8.78,1.32,17.69
Mainz Biomed N.V. (MYNZ),132.3K,3.44,0.51,17.41
CoreWeave Inc. Cl A (CRWV),52.7M,61.36,8.79,16.72
Sionna Therapeutics Inc. (SION),292.8K,11.83,1.67,16.44
Clene Inc. (CLNN),57.0K,3.0,0.42,16.28
Red Cat Holdings Inc. (RCAT),7.6M,7.42,1.03,16.12
Hyperscale Data Inc. (GPUS),88.5K,2.68,0.36,15.77
Vision Marine Technologies Inc. (VMAR),2.0M,5.07,0.68,15.39
Monopar Therapeutics Inc. (MNPR),71.3K,38.53,5.1,15.26
authID Inc. (AUID),1.0M,5.52,0.73,15.24
Karyopharm Therapeutics Inc. (KPTI),94.4K,4.06,0.52,14.69
Galecto Inc. (GLTO),105.8K,3.23,0.41,14.54
Junee Ltd. (JUNE),156.8K,10.81,1.36,14.39
Palvella Therapeutics Inc. (PVLA),67.6K,26.97,3.38,14.33
Telomir Pharmaceuticals Inc. (TELO),478.1K,3.13,0.39,14.23
X Financial ADR (XYF),540.7K,16.17,1.97,13.87
Amylyx Pharmaceuticals Inc. (AMLX),772.0K,3.78,0.44,13.17
New Fortress Energy LLC Cl A (NFE),10.1M,8.57,0.99,13.06
Bakkt Holdings Inc. (BKKT),426.3K,10.25,1.17,12.89
Petco Health & Wellness Co. Inc. (WOOF),15.3M,3.34,0.38,12.84
Aardvark Therapeutics Inc. (AARD),99.7K,9.35,1.06,12.79
Siyata Mobile Inc. (SYTA),859.1K,2.39,0.27,12.74
Exagen Inc. (XGN),264.4K,4.43,0.5,12.72
AngioDynamics Inc. (ANGO),2.5M,10.86,1.2,12.42
Park Ha Biological Technology Co. Ltd. (PHH),567.4K,13.25,1.46,12.38
Ocular Therapeutix Inc. (OCUL),1.9M,7.34,0.8,12.23
Yoshiharu Global Co. (YOSH),98.9K,16.43,1.74,11.84
Denali Therapeutics Inc. (DNLI),3.6M,13.74,1.45,11.8
Auddia Inc. (AUUD),132.2K,4.32,0.45,11.63
Aclarion Inc. (ACON),140.0K,12.61,1.3,11.49
Outset Medical Inc. (OM),70.4K,12.15,1.24,11.37
Avidity Biosciences Inc. (RNA),3.2M,29.77,3.03,11.33
Adverum Biotechnologies Inc. (ADVM),154.4K,4.26,0.43,11.23
Intuitive Machines Inc. Cl A (LUNR),9.5M,8.3,0.83,11.18
SpringWorks Therapeutics Inc. (SWTX),4.6M,46.52,4.64,11.08
BranchOut Food Inc. (BOF),225.1K,2.41,0.24,11.06
Zenas BioPharma Inc. (ZBIO),237.1K,8.43,0.83,10.92
Arcutis Biotherapeutics Inc. (ARQT),5.4M,16.6,1.62,10.81
Arcellx Inc. (ACLX),908.7K,67.23,6.53,10.76
COMPASS Pathways PLC ADR (CMPS),1.8M,3.09,0.3,10.75
Summit Midstream Corp. (SMC),169.0K,36.81,3.56,10.71
SemiLEDS Corp. (LEDS),137.8K,2.69,0.26,10.7
IDEAYA Biosciences Inc. (IDYA),2.2M,16.35,1.58,10.7
Iveda Solutions Inc. (IVDA),63.7K,2.59,0.25,10.68
Aditxt Inc. (ADTX),198.6K,5.0,0.48,10.62
Gyre Therapeutics Inc. (GYRE),274.6K,7.09,0.68,10.61
Proficient Auto Logistics Inc. (PAL),448.6K,9.05,0.86,10.5
Amentum Holdings Inc. (AMTM),5.9M,19.71,1.84,10.3
Alarum Technologies Ltd. ADR (ALAR),173.6K,7.0,0.64,10.06
Rocket Cos. Inc. (RKT),34.9M,13.86,1.26,10.0
4D Molecular Therapeutics Inc. (FDMT),1.1M,3.28,0.29,9.7
Intellia Therapeutics Inc. (NTLA),5.4M,7.3,0.65,9.69
